,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,name_y
1662,21209,1,2,68.0,01:16.1,203.906,Vettel,Finished,2011,Brazilian Grand Prix,Red Bull
1663,21642,24,3,54.0,01:44.0,192.32,Vettel,Finished,2012,Abu Dhabi Grand Prix,Red Bull
1664,21691,3,4,39.0,01:18.9,196.6,Webber,Finished,2012,Brazilian Grand Prix,Red Bull
1665,21693,4,6,36.0,01:19.1,196.136,Vettel,Finished,2012,Brazilian Grand Prix,Red Bull
1666,23008,3,4,46.0,01:28.2,189.98,Ricciardo,Finished,2016,Spanish Grand Prix,Red Bull
1667,23005,4,1,36.0,01:28.8,188.682,Verstappen,Finished,2016,Spanish Grand Prix,Red Bull
1668,23722,2,1,65.0,01:18.9,196.4,Verstappen,Finished,2017,Mexican Grand Prix,Red Bull
1669,32,11,10,56.0,01:35.7,208.481,Button,Finished,2008,Malaysian Grand Prix,Honda
1670,72,13,6,66.0,01:22.4,203.489,Button,Finished,2008,Spanish Grand Prix,Honda
1671,114,14,6,75.0,01:19.6,151.104,Barrichello,Finished,2008,Monaco Grand Prix,Honda
1672,171,16,3,21.0,01:33.4,198.183,Barrichello,Finished,2008,British Grand Prix,Honda
1673,283,19,15,52.0,01:29.8,232.166,Button,Finished,2008,Italian Grand Prix,Honda
1674,297,12,9,61.0,01:48.1,168.7,Button,Finished,2008,Singapore Grand Prix,Honda
1675,339,13,11,56.0,01:37.8,200.558,Barrichello,Finished,2008,Chinese Grand Prix,Honda
1676,490,13,12,62.0,01:18.5,199.885,Barrichello,Finished,2007,Canadian Grand Prix,Honda
1677,530,12,8,70.0,01:16.8,206.846,Button,Finished,2007,French Grand Prix,Honda
1678,640,10,8,32.0,01:24.5,246.708,Button,Finished,2007,Italian Grand Prix,Honda
1679,642,12,10,52.0,01:24.8,246.024,Barrichello,Finished,2007,Italian Grand Prix,Honda
1680,686,17,10,57.0,01:31.1,180.395,Barrichello,Finished,2007,Japanese Grand Prix,Honda
1681,55,12,11,40.0,01:34.9,205.399,Barrichello,Finished,2008,Bahrain Grand Prix,Honda
1682,139,20,11,58.0,01:19.4,197.847,Button,Finished,2008,Canadian Grand Prix,Honda
1683,135,9,7,35.0,01:18.3,200.503,Barrichello,Finished,2008,Canadian Grand Prix,Honda
1684,703,10,5,39.0,01:38.9,198.392,Button,Finished,2007,Chinese Grand Prix,Honda
1685,793,16,7,32.0,01:27.7,217.707,Barrichello,Finished,2006,Australian Grand Prix,Honda
1686,1007,14,1,57.0,01:25.1,185.236,Button,Finished,2006,Hungarian Grand Prix,Honda
1687,1010,3,4,69.0,01:24.7,186.253,Barrichello,Finished,2006,Hungarian Grand Prix,Honda
1688,1055,5,5,51.0,01:23.5,249.704,Button,Finished,2006,Italian Grand Prix,Honda
1689,1056,8,6,27.0,01:23.8,248.881,Barrichello,Finished,2006,Italian Grand Prix,Honda
